E47G078002,1,2,3,4,5,6,7
E47G069002,1,1,2,3,4,5,6
E47G066009,1,1,2,3,4,5,6
E47G063007,1,2,3,4,5,6,7
E46G091092,1,1,1,2,3,3,4
E46G083094,1,2,2,3,4,5,6
E47G065008,1,1,2,3,4,5,6
E46G061092,1,2,2,3,4,5,6
E46G070086,1,1,1,1,2,2,3
E47G086003,1,1,1,2,3,3,4
E46G067095,1,2,2,2,3,4,5
E46G074090,1,2,2,3,4,4,5
E46G078096,1,2,3,4,0,5,6
E47G071002,1,1,2,3,4,5,6
E47G076008,1,2,3,3,4,5,6
E47G064008,1,2,3,4,5,6,7
E46G086090,1,2,2,3,3,3,4
E46G071090,1,2,2,3,4,4,5
E46G073090,1,2,2,3,4,4,5
E46G092094,1,0,0,0,0,0,0
E47G070002,1,1,2,3,4,5,6
E46G082088,1,2,2,3,3,3,4
E46G089096,1,0,0,0,0,0,0
E46G088090,1,2,2,3,3,3,4
E46G087086,1,2,2,3,3,3,4
E46G061095,1,2,2,2,3,3,4
E46G077089,1,1,1,2,3,3,4
E47G084002,1,2,3,4,5,6,7
E46G082094,1,2,2,3,4,5,6
E46G069089,1,2,2,3,4,4,5
E47G090001,1,0,0,0,0,0,0
E46G059094,1,1,1,1,2,2,3
E46G065095,1,2,2,2,3,3,4
E46G083096,1,2,3,4,5,6,7
E47G061007,1,2,2,3,4,5,6
E46G079085,1,1,1,2,0,3,3
E46G088087,1,2,2,3,3,3,4
E46G089090,1,2,2,3,3,3,4
E46G072094,1,2,2,3,4,5,6
E46G087096,1,2,3,4,5,5,6
E46G072091,1,2,2,3,4,5,6
E46G082096,1,2,3,4,5,6,7
E46G069096,1,2,3,4,5,6,7
E46G084090,1,2,2,3,3,3,4
E46G073085,1,1,1,2,3,3,4
E47G057003,1,1,1,2,3,4,5
E46G068089,1,2,2,3,4,4,5
E47G076006,1,2,3,4,5,6,7
E47G074013,1,0,0,0,0,0,0
E47G084004,1,1,1,2,3,4,5
E46G074087,1,1,1,2,2,2,3
E46G088086,1,0,0,0,0,0,0
E46G066089,1,2,2,3,4,4,5
E46G086091,1,2,2,3,3,3,4
E47G067012,1,2,2,3,4,4,5
E47G072013,1,0,0,0,0,0,0
E47G085006,1,0,0,0,0,0,0
E47G062011,1,1,1,2,3,3,4
E46G059092,1,1,1,2,3,4,5
