interview__key,GPS__Latitude,GPS__Longitude,zinc,thatch,houseNum
07-03-75-06,16.6874177,96.0128422,1,0,1
42-01-12-42,16.7053297,96.0495583,0,1,6
55-25-88-74,16.7122369,96.045477,0,1,3
47-98-85-35,16.7131356,96.0519038,0,1,2
83-98-49-37,16.7320023,95.6297111,0,1,2
45-73-55-02,16.7320166,95.6297048,0,1,2
93-96-91-12,16.7320385,95.629638,0,1,1
21-47-03-38,16.7339425,95.6234096,0,1,1
59-79-08-91,16.7347118,95.6216461,0,1,1
39-40-57-32,16.7347574,95.61368,0,1,2
07-02-63-62,16.734976,95.6136644,0,1,1
29-80-16-78,16.7349882,95.6136774,0,1,1
65-75-02-79,16.7385753,95.7057417,0,1,1
86-72-17-26,16.7444883,95.6647391,0,1,2
52-06-73-89,16.7450517,95.6648716,0,1,1
17-78-41-77,16.7450655,95.6647892,1,0,2
04-37-26-57,16.7479527,95.6977813,0,1,1
41-03-85-27,16.7733528,95.654919,0,1,2
67-31-96-02,16.7735391,95.6549081,0,1,2
79-46-47-26,16.8330281,95.6696556,0,1,15
60-70-69-01,16.8376343,95.7581072,1,0,15
82-86-38-59,16.8488441,95.6578172,0,1,1
92-62-55-32,16.8498846,95.6696413,0,1,3
54-67-84-52,16.8564409,95.6460464,0,1,2
23-03-78-18,16.8879465,95.6385377,0,1,4
65-16-93-00,16.8921885,95.6371626,0,1,6
18-31-02-82,16.8935083,95.6375523,1,0,9
18-51-76-45,16.9039469,95.6360572,1,0,7
82-95-61-57,16.910239,96.4332134,0,1,1
98-83-05-48,16.9117694,95.6348004,0,1,2
60-25-20-35,16.9125763,96.4341345,0,1,2
37-93-92-56,16.9131503,96.4339794,0,1,1
37-07-34-36,16.9143619,96.4339335,0,1,3
66-05-11-64,16.9144951,96.4339413,0,1,5
72-78-03-75,16.9161535,95.6341718,1,0,10
60-53-51-82,16.9240408,96.519126,0,1,3
70-44-73-47,16.9253591,95.640375,1,0,1
06-68-97-78,16.9264219,95.2556828,0,1,4
10-12-89-13,16.9277962,96.5105115,0,1,2
34-10-52-49,16.9287933,96.5106154,1,0,2
28-03-61-42,16.9305609,95.2637065,0,1,1
44-97-10-54,16.9308117,96.5109381,1,0,2
80-04-89-91,16.9310377,95.2643735,0,1,2
57-03-37-86,16.9310395,95.2644911,0,1,1
49-91-05-95,16.9312489,95.2642607,0,1,1
17-53-78-67,16.9326371,96.5164845,0,1,5
46-46-21-02,16.9333892,96.5135831,0,1,1
15-67-00-51,16.9340292,96.491152,0,1,1
86-05-49-61,16.9356063,96.5161898,0,1,1
43-91-28-31,16.9389464,96.4919818,0,1,1
87-16-49-38,16.9433153,95.6511741,0,1,2
84-94-59-40,16.9533579,96.5774565,0,1,6
66-29-92-92,16.9563575,96.5781629,0,1,4
99-45-67-25,16.9608756,96.5785562,0,1,2
42-72-58-34,16.9611526,96.4624094,0,1,6
